( 0 , 'there are such a large amount of')
( 6680 , 'few pennies')
( 6680 , 'couple of pennies')
( 6680 , 'few cents')
( 6681 , 'few minutes')
( 6681 , 'jiffy')
( 6681 , 'couple of minutes')
( 6682 , 'few bucks')
( 6682 , 'couple of bucks')
( 6682 , 'couple of dollars')
( 6683 , 'feel free')
( 6683 , 'be happy')
( 6683 , 'be at liberty ')
( 6684 , 'fast moving')
( 6684 , 'fast paced')
( 6684 , 'fast-paced')
( 6685 , 'fashion conscious')
( 6685 , 'style aware')
( 6685 , 'style conscious')
( 6686 , 'far more')
( 6686 , 'much more')
( 6686 , 'way more')
( 6687 , 'far better')
( 6687 , 'much better')
( 6688 , 'family members')
( 6688 , 'relations')
( 6688 , 'members of the family')
( 6689 , 'family member')
( 6689 , 'loved one')
( 6689 , 'friend')
( 6690 , 'fall asleep')
( 6690 , 'go to sleep')
( 6691 , 'fair share')
( 6691 , 'justifiable share')
( 6691 , 'fair proportion')
( 6692 , 'fair bit')
( 6692 , 'good bit')
( 6693 , 'failed to')
( 6693 , 'did not')
( 6693 , 'didn''t')
( 6694 , 'factor in')
( 6694 , 'think about')
( 6694 , 'consider')
( 6695 , 'fact that')
( 6695 , 'incontrovertible fact that')
( 6695 , 'proven fact that')
( 6695 , 'undeniable fact that')
( 6695 , 'indisputable fact that')
( 6696 , 'extremely simple')
( 6696 , 'very simple')
( 6697 , 'extra money')
( 6697 , 'extra cash')
( 6697 , 'more money')
( 6698 , 'explanation why')
( 6698 , 'reason why')
( 6698 , 'reason')
( 6699 , 'except for')
( 6699 , 'apart from')
( 6699 , 'aside from')
( 6700 , 'excellent news')
( 6700 , 'good news')
( 6701 , 'excellent gift')
( 6701 , 'great gift')
( 6701 , 'superb present')
( 6702 , 'exactly the')
( 6702 , 'precisely the')
( 6703 , 'exact same')
( 6703 , 'very same')
( 6704 , 'everyone is')
( 6704 , 'everyone seems to be')
( 6705 , 'every piece')
( 6705 , 'each piece')
( 6705 , 'every bit')
( 6706 , 'every one')
( 6706 , 'each one')
( 6707 , 'every kind')
( 6707 , 'all kinds')
( 6707 , 'all types ')
( 6708 , 'every age')
( 6708 , 'all ages')
( 6709 , 'even though')
( 6709 , 'although')
( 6709 , 'while')
( 6710 , 'even if')
( 6710 , 'whether or not ')
( 6711 , 'especially true')
( 6711 , 'very true')
( 6712 , 'ensure you')
( 6712 , 'make sure you ')
( 6713 , 'ensure the')
( 6713 , 'make sure the')
( 6714 , 'ensure that')
( 6714 , 'make sure that ')
( 6715 , 'ended in')
( 6715 , 'led to')
( 6715 , 'resulted in')
( 6716 , 'end up')
( 6716 , 'find yourself')
( 6717 , 'education programs')
( 6717 , 'education schemes')
( 6717 , 'teaching programs')
( 6718 , 'edge of')
( 6718 , 'fringe of')
( 6719 , 'easy access')
( 6719 , 'quick access')
( 6719 , 'easy accessibility')
( 6720 , 'easiest way')
( 6720 , 'easiest method')
( 6720 , 'simplest way ')
( 6721 , 'easiest method')
( 6721 , 'simplest way')
( 6721 , 'easiest way ')
( 6722 , 'simple')
( 6722 , 'easy')
( 6723 , 'each year')
( 6723 , 'annually')
( 6723 , 'every year')
( 6724 , 'each side')
( 6724 , 'all sides')
( 6724 , 'both sides')
( 6724 , 'either side')
( 6725 , 'each piece')
( 6725 , 'each bit')
( 6725 , 'every bit')
( 6726 , 'each one')
( 6726 , 'every one')
( 6726 , 'each')
( 6727 , 'during periods')
( 6727 , 'during times')
( 6727 , 'in periods')
( 6728 , 'due to')
( 6728 , 'thanks to')
( 6728 , 'because of ')
( 6729 , 'dressed in')
( 6729 , 'wearing ')
( 6730 , 'draw in')
( 6730 , 'attract')
( 6731 , 'down to')
( 6731 , 'right down to')
( 6731 , 'all the way down to')
( 6732 , 'don''t worry')
( 6732 , 'don''t be concerned')
( 6732 , 'don''t fret')
( 6733 , 'don''t want')
( 6733 , 'don''t need')
( 6733 , 'don''t desire')
( 6734 , 'don''t stay')
( 6734 , 'don''t remain')
( 6734 , 'do not stay')
( 6735 , 'don''t realize')
( 6735 , 'do not realize')
( 6735 , 'do not understand')
( 6736 , 'don''t like')
( 6736 , 'do not like')
( 6736 , 'don''t love')
( 6737 , 'don''t know')
( 6737 , 'do not know')
( 6738 , 'don''t have')
( 6738 , 'do not have')
( 6738 , 'haven''t got')
( 6739 , 'don''t get')
( 6739 , 'do not get')
( 6740 , 'don''t forget')
( 6740 , 'do not forget')
( 6740 , 'remember')
( 6741 , 'don''t feel')
( 6741 , 'do not feel')
( 6742 , 'don''t buy')
( 6742 , 'do not buy')
( 6743 , 'don''t believe')
( 6743 , 'do not believe')
( 6743 , 'don''t think')
( 6744 , 'don''t be')
( 6744 , 'do not be')
( 6745 , 'doing your')
( 6745 , 'doing all of your')
( 6745 , 'doing all your ')
( 6746 , 'doing some')
( 6746 , 'performing some')
( 6746 , 'doing a little')
( 6747 , 'doesn''t suggest')
( 6747 , 'does not imply')
( 6747 , 'doesn''t mean')
( 6748 , 'doesn''t mean')
( 6748 , 'doesn''t suggest')
( 6748 , 'does not imply')
( 6749 , 'does not')
( 6749 , 'doesn''t')
( 6750 , 'do we')
( 6750 , 'can we')
( 6750 , 'will we')
( 6751 , 'do this')
( 6751 , 'do that')
( 6751 , 'try this')
( 6752 , 'do that')
( 6752 , 'do this')
( 6752 , 'try this')
( 6753 , 'do not')
( 6753 , 'don''t')
( 6754 , 'do just')
( 6754 , 'do exactly')
( 6754 , 'just do')
( 6755 , 'dispose of')
( 6755 , 'eliminate')
( 6755 , 'get rid of')
( 6756 , 'directly to')
( 6756 , 'on to')
( 6757 , 'differing types')
( 6757 , 'differing kinds')
( 6757 , 'different types')
( 6758 , 'differing kinds')
( 6758 , 'differing types')
( 6758 , 'different types')
( 6759 , 'different ways')
( 6759 , 'alternative ways')
( 6759 , 'other ways')
( 6760 , 'different types')
( 6760 , 'differing types')
( 6760 , 'differing kinds')
( 6761 , 'different things')
( 6761 , 'various things')
( 6762 , 'different sorts')
( 6762 , 'differing types')
( 6762 , 'different types')
( 6763 , 'different factors')
( 6763 , 'various factors')
( 6764 , 'didn''t wish')
( 6764 , 'didn''t want')
( 6764 , 'did not want')
( 6765 , 'didn''t have')
( 6765 , 'did not have')
( 6766 , 'did not')
( 6766 , 'didn''t')
( 6766 , 'failed to')
( 6767 , 'devoted to')
( 6767 , 'dedicated to')
( 6768 , 'deserve to')
( 6768 , 'need to')
( 6768 , 'should')
( 6769 , 'depended on')
( 6769 , 'trusted')
( 6769 , 'relied on')
( 6770 , 'depend upon')
( 6770 , 'depend on')
( 6770 , 'rely upon')
( 6770 , 'rely on')
( 6771 , 'depend on')
( 6771 , 'depend upon')
( 6771 , 'rely upon')
( 6771 , 'rely on')
( 6772 , 'department stores')
( 6772 , 'department shops')
( 6772 , 'malls')
( 6772 , 'shops')
( 6773 , 'department shops')
( 6773 , 'department stores')
( 6773 , 'shops')
( 6774 , 'delight in')
( 6774 , 'enjoyment of ')
( 6775 , 'defensive line')
( 6775 , 'defensive position')
( 6775 , 'line of defense ')
( 6776 , 'decided on')
( 6776 , 'selected')
( 6777 , 'decide on')
( 6777 , 'settle on')
( 6777 , 'choose')
( 6778 , 'cutting edge')
( 6778 , 'leading edge')
( 6778 , 'innovative')
( 6779 , 'cut price')
( 6779 , 'discount')
( 6779 , 'bargain')
( 6780 , 'cut back')
( 6780 , 'reduce')
( 6780 , 'in the reduction of')
( 6781 , 'custom designed')
( 6781 , 'customized')
( 6782 , 'curious about')
( 6782 , 'interested by')
( 6782 , 'interested in')
( 6782 , 'inquisitive about')
( 6783 , 'cupboard space')
( 6783 , 'storage space')
( 6783 , 'space for storing')
( 6784 , 'crowd pleasing')
( 6784 , 'eye-catching')
( 6784 , 'attention-grabbing')
( 6785 , 'credit card')
( 6785 , 'mastercard')
( 6786 , 'crammed with')
( 6786 , 'full of')
( 6786 , 'filled with ')
( 6787 , 'could not')
( 6787 , 'couldn''t')
( 6788 , 'could need')
( 6788 , 'may need')
( 6788 , 'may wish ')
( 6789 , 'could lead')
( 6789 , 'could lead on')
( 6789 , 'may lead')
( 6790 , 'could benefit')
( 6790 , 'may benefit')
( 6790 , 'may gain advantage')
( 6791 , 'cost effectively')
( 6791 , 'affordably')
( 6791 , 'cheaply')
( 6792 , 'correct mix')
( 6792 , 'right mix')
( 6792 , 'right combination')
( 6793 , 'correct amount')
( 6793 , 'right amount')
( 6793 , 'correct quantity')
( 6794 , 'cope with')
( 6794 , 'deal with')
( 6794 , 'address')
( 6795 , 'consider using')
( 6795 , 'think about using')
( 6796 , 'connection with')
( 6796 , 'reference to')
( 6797 , 'connect to')
( 6797 , 'hook up with')
( 6797 , 'connect with')
( 6798 , 'concentrated on')
( 6798 , 'targeting')
( 6798 , 'focused on')
( 6799 , 'concentrate on')
( 6799 , 'consider')
( 6799 , 'think about')
( 6799 , 'focus on')
( 6800 , 'complete opposite')
( 6800 , 'exact opposite')
( 6801 , 'comes to')
( 6801 , 'involves')
( 6802 , 'come with')
( 6802 , 'include')
( 6803 , 'come in')
( 6803 , 'are available')
( 6803 , 'are available in')
( 6804 , 'clothing stores')
( 6804 , 'clothes shops')
( 6804 , 'outfitters')
( 6805 , 'close to')
( 6805 , 'near ')
( 6806 , 'clear out')
( 6806 , 'filter out')
( 6806 , 'filter')
( 6807 , 'chrome steel')
( 6807 , 'stainless steel')
( 6807 , 'stainless-steel')
( 6808 , 'choose from')
( 6808 , 'choose between')
( 6808 , 'make a choice from')
( 6808 , 'select from')
( 6809 , 'choose between')
( 6809 , 'choose from')
( 6809 , 'make a choice from')
( 6810 , 'choice to')
( 6810 , 'option to')
( 6811 , 'chill out')
( 6811 , 'sit back')
( 6811 , 'relax')
( 6812 , 'checking out')
( 6812 , 'testing')
( 6812 , 'trying out')
( 6813 , 'check out')
( 6813 , 'take a look at')
( 6813 , 'try ')
( 6814 , 'chat groups')
( 6814 , 'discussion groups')
( 6815 , 'changing into')
( 6815 , 'becoming')
( 6815 , 'turning into')
( 6816 , 'changed into')
( 6816 , 'become')
( 6816 , 'turned into')
( 6816 , 'became')
( 6817 , 'chances are')
( 6817 , 'likelihood is')
( 6817 , 'likelihood is')
( 6817 , 'chances are high')
( 6818 , 'certain amount')
( 6818 , 'specific amount')
( 6818 , 'certain quantity')
( 6819 , 'center around')
( 6819 , 'focus on')
( 6820 , 'cause of')
( 6820 , 'explanation for')
( 6820 , 'reason for')
( 6820 , 'reason behind')
( 6821 , 'cast iron')
( 6821 , 'forged iron')
( 6822 , 'carry out')
( 6822 , 'perform')
( 6823 , 'care for')
( 6823 , 'look after')
( 6823 , 'take care of')
( 6824 , 'can''t help')
( 6824 , 'can not help')
( 6825 , 'can''t be')
( 6825 , 'cannot be')
( 6826 , 'can result')
( 6826 , 'may result')
( 6826 , 'may end up')
( 6827 , 'can purchase')
( 6827 , 'can buy')
( 6827 , 'should purchase')
( 6827 , 'should buy')
( 6828 , 'can pay')
( 6828 , 'pays')
( 6828 , 'will pay')
( 6829 , 'can not')
( 6829 , 'can''t')
( 6829 , 'cannot')
( 6830 , 'can i')
( 6830 , 'am i able to')
( 6831 , 'can buy')
( 6831 , 'can purchase')
( 6831 , 'should buy')
( 6831 , 'should purchase')
( 6832 , 'can be')
( 6832 , 'may be')
( 6833 , 'can also')
( 6833 , 'also can')
( 6833 , 'can even')
( 6833 , 'may also')
( 6833 , 'may')
( 6834 , 'by contrast')
( 6834 , 'against this')
( 6834 , 'in contrast')
( 6835 , 'business journey')
( 6835 , 'work trip')
( 6835 , 'business trip')
( 6836 , 'built in')
( 6836 , 'inbuilt')
( 6836 , 'in-built')
( 6837 , 'building up')
( 6837 , 'build up')
( 6837 , 'increase')
( 6838 , 'browse through')
( 6838 , 'flick through')
( 6838 , 'flick thru ')
( 6839 , 'brought to')
( 6839 , 'delivered to')
( 6839 , 'dropped at')
( 6840 , 'brought about')
( 6840 , 'caused')
( 6840 , 'led to')
( 6841 , 'brooding about')
( 6841 , 'thinking about')
( 6841 , 'considering')
( 6841 , 'pondering')
( 6842 , 'bring in')
( 6842 , 'usher in')
( 6842 , 'herald')
( 6843 , 'breathing in')
( 6843 , 'inhaling')
( 6844 , 'both sides')
( 6844 , 'each side')
( 6844 , 'either side')
( 6845 , 'bored with')
( 6845 , 'tired of')
( 6845 , 'uninterested in')
( 6846 , 'bit of')
( 6846 , 'little bit of')
( 6847 , 'birthday party')
( 6847 , 'birthday celebration')
( 6847 , 'party')
( 6847 , 'celebration')
( 6848 , 'birth control')
( 6848 , 'contraception')
( 6849 , 'big variety')
( 6849 , 'big choice')
( 6849 , 'wide selection')
( 6850 , 'big selection')
( 6850 , 'wide range')
( 6850 , 'wide selection')
( 6851 , 'big range')
( 6851 , 'big selection')
( 6851 , 'wide array')
( 6852 , 'big enough')
( 6852 , 'large enough')
( 6852 , 'sufficiently big')
( 6853 , 'big choice')
( 6853 , 'wide selection')
( 6853 , 'good selection')
( 6853 , 'large choice')
( 6854 , 'big apple')
( 6854 , 'long island')
( 6854 , 'new york')
( 6854 , 'manhattan')
( 6854 , 'ny')
( 6855 , 'beware of')
( 6855 , 'watch out for')
( 6856 , 'better halves')
( 6856 , 'wives')
( 6856 , 'other halves')
( 6857 , 'better choice')
( 6857 , 'more sensible choice')
( 6857 , 'better option')
( 6858 , 'best thing')
( 6858 , 'neatest thing')
( 6858 , 'smartest thing')
( 6859 , 'best suits')
( 6859 , 'most accurately fits')
( 6859 , 'most closely fits')
( 6860 , 'best quality')
( 6860 , 'highest quality')
( 6860 , 'very best quality')
( 6861 , 'best possible')
( 6861 , 'absolute best')
( 6861 , 'very best')
( 6862 , 'best part')
( 6862 , 'better part')
( 6863 , 'best option')
( 6863 , 'best choice')
( 6863 , 'most suitable choice')
( 6864 , 'best of')
( 6864 , 'better of')
( 6865 , 'best fits')
( 6865 , 'most closely fits')
( 6866 , 'best choice')
( 6866 , 'most suitable option')
( 6866 , 'best option')
( 6867 , 'benefit of')
( 6867 , 'advantage of')
( 6867 , 'good thing about')
( 6868 , 'being worried')
( 6868 , 'being concerned')
( 6868 , 'worrying')
( 6869 , 'being used')
( 6869 , 'getting used ')
( 6870 , 'being concerned')
( 6870 , 'worrying')
( 6870 , 'caring')
( 6871 , 'being able')
( 6871 , 'having the ability')
( 6872 , 'become worse')
( 6872 , 'go to pot')
( 6872 , 'deteriorate')
( 6873 , 'become tired')
( 6873 , 'become bored')
( 6873 , 'grow tired')
( 6874 , 'become involved')
( 6874 , 'get entangled')
( 6874 , 'get involved')
( 6875 , 'become bored')
( 6875 , 'get bored')
( 6875 , 'lose interest')
( 6876 , 'because of')
( 6876 , 'due to')
( 6876 , 'thanks to')
( 6877 , 'became interested')
( 6877 , 'took an interest')
( 6877 , 'got interested')
( 6878 , 'beauty of')
( 6878 , 'great thing about')
( 6878 , 'fantastic thing about')
( 6879 , 'be sure')
( 6879 , 'make certain')
( 6879 , 'make sure')
( 6880 , 'be successful')
( 6880 , 'achieve success')
( 6881 , 'be replaced')
( 6881 , 'get replaced')
( 6882 , 'be offering')
( 6882 , 'offer')
( 6883 , 'be interested')
( 6883 , 'have an interest')
( 6884 , 'be informed')
( 6884 , 'be told')
( 6884 , 'learn')
( 6885 , 'be expecting')
( 6885 , 'expect')
( 6886 , 'be certain')
( 6886 , 'be sure')
( 6886 , 'make sure')
( 6886 , 'make certain')
( 6887 , 'be careful')
( 6887 , 'watch out')
( 6888 , 'be aware')
( 6888 , 'remember')
( 6888 , 'bear in mind ')
( 6889 , 'bathroom toilet')
( 6889 , 'bathroom lavatory')
( 6889 , 'loo ')
( 6890 , 'bathroom loo')
( 6890 , 'loo')
( 6890 , 'bathroom toilet')
( 6891 , 'basic things')
( 6891 , 'basic items')
( 6891 , 'staple items')
( 6892 , 'based mostly')
( 6892 , 'based')
( 6892 , 'primarily based')
( 6893 , 'base line')
( 6893 , 'bottom line')
( 6893 , 'final analysis')
( 6894 , 'bank account')
( 6894 , 'checking account')
( 6895 , 'aware about')
( 6895 , 'aware of')
( 6895 , 'privy to')
( 6896 , 'attracted to')
( 6896 , 'interested in')
( 6896 , 'drawn to ')
( 6897 , 'attempt to')
( 6897 , 'try and')
( 6897 , 'try to')
( 6897 , 'try to ')
( 6898 , 'at streetlevel')
( 6898 , 'on the street')
( 6898 , 'in the street')
( 6899 , 'at school')
( 6899 , 'at college')
( 6899 , 'in school')
( 6900 , 'at risk')
( 6900 , 'in danger')
( 6901 , 'at once')
( 6901 , 'directly')
( 6901 , 'without delay')
( 6902 , 'at least')
( 6902 , 'a minimum of')
( 6903 , 'at last')
( 6903 , 'eventually')
( 6903 , 'finally')
( 6903 , 'ultimately')
( 6904 , 'at ease')
( 6904 , 'comfortable')
( 6904 , 'comfy')
( 6904 , 'relaxed')
( 6905 , 'at college')
( 6905 , 'at school')
( 6905 , 'in school')
( 6906 , 'associated with')
( 6906 , 'related to ')
( 6907 , 'aside from')
( 6907 , 'apart from')
( 6907 , 'except for')
( 6907 , 'other than')
( 6908 , 'as though')
( 6908 , 'as if')
( 6909 , 'as the')
( 6909 , 'because the ')
( 6910 , 'as it')
( 6910 , 'because it')
( 6911 , 'as good')
( 6911 , 'nearly as good')
( 6911 , 'pretty much as good')
( 6912 , 'around her')
( 6912 , 'round her')
( 6913 , 'aren''t getting')
( 6913 , 'do not get')
( 6913 , 'don''t get')
( 6914 , 'aren''t any')
( 6914 , 'are not any')
( 6914 , 'are no')
( 6915 , 'are trying')
( 6915 , 'try')
( 6915 , 'are attempting')
( 6916 , 'are patently')
( 6916 , 'are obviously')
( 6917 , 'are not')
( 6917 , 'aren''t')
( 6917 , 'don''t seem to be')
( 6918 , 'are no')
( 6918 , 'are not any')
( 6918 , 'aren''t any')
( 6919 , 'are living')
( 6919 , 'live')
( 6919 , 'reside')
( 6920 , 'are literally')
( 6920 , 'are actually')
( 6921 , 'are interested')
( 6921 , 'have an interest')
( 6922 , 'are becoming')
( 6922 , 'have gotten')
( 6923 , 'are expecting')
( 6923 , 'expect')
( 6923 , 'predict')
( 6924 , 'are evoked')
( 6924 , 'come to mind')
( 6924 , 'spring to mind')
( 6925 , 'are becoming')
( 6925 , 'are getting')
( 6925 , 'have become')
( 6926 , 'are attempting')
( 6926 , 'are trying')
( 6926 , 'try')
( 6927 , 'are actually')
( 6927 , 'are literally')
( 6928 , 'an aptitude')
( 6928 , 'a flair')
( 6928 , 'an inherent ability')
( 6929 , 'appear like')
( 6929 , 'appear as if')
( 6929 , 'seem like')
( 6930 , 'apart from')
( 6930 , 'aside from')
( 6930 , 'other than')
( 6931 , 'anything else')
( 6931 , 'anything')
( 6931 , 'the rest')
( 6932 , 'any place')
( 6932 , 'anywhere')
( 6932 , 'anyplace')
( 6933 , 'any other')
( 6933 , 'the other')
( 6934 , 'any one')
( 6934 , 'anybody')
( 6934 , 'anyone')
( 6935 , 'anti inflammatory')
( 6935 , 'anti-inflammatory')
( 6936 , 'another reason')
( 6936 , 'one more reason')
( 6936 , 'another excuse')
( 6937 , 'another option')
( 6937 , 'an alternative choice')
( 6937 , 'another choice')
( 6938 , 'animal instincts')
( 6938 , 'natural instincts')
( 6938 , 'natural tendencies')
( 6939 , 'and zips')
( 6939 , 'and zippers')
( 6940 , 'and zero')
( 6940 , 'and 0')
( 6940 , 'and nil')
( 6941 , 'and you''ve')
( 6941 , 'and you have')
( 6941 , 'and you''ve got')
( 6942 , 'and youngsters')
( 6942 , 'and kids')
( 6942 , 'and children')
( 6943 , 'and you''ll')
( 6943 , 'and you will')
( 6943 , 'and you may')
( 6944 , 'and worth')
( 6944 , 'and price')
( 6944 , 'and value')
( 6945 , 'and working')
( 6945 , 'and dealing')
( 6946 , 'and women')
( 6946 , 'and ladies')
( 6946 , 'and girls')
( 6947 , 'and wishes')
( 6947 , 'and needs')
( 6947 , 'and desires')
( 6948 , 'and wish')
( 6948 , 'and need')
( 6948 , 'and want')
( 6949 , 'and will')
( 6949 , 'and can')
( 6950 , 'and whimsical')
( 6950 , 'and kooky')
( 6950 , 'and eccentric')
( 6951 , 'and weird')
( 6951 , 'and bizarre')
( 6951 , 'and peculiar')
( 6952 , 'and warmth')
( 6952 , 'and heat')
( 6953 , 'and wants')
( 6953 , 'and needs')
( 6953 , 'and desires')
( 6954 , 'and want')
( 6954 , 'and need')
( 6954 , 'and wish')
( 6955 , 'and visible')
( 6955 , 'and visual')
( 6956 , 'and view')
( 6956 , 'and consider')
( 6956 , 'and think about')
( 6956 , 'and look at')
( 6956 , 'and examine')
( 6957 , 'and vicious')
( 6957 , 'and harsh')
( 6957 , 'and cruel')
( 6958 , 'and very')
( 6958 , 'and really')
( 6959 , 'and versatility')
( 6959 , 'and flexibility')
( 6960 , 'and varying')
( 6960 , 'and ranging')
( 6961 , 'and varnish')
( 6961 , 'and polish')
( 6962 , 'and usually')
( 6962 , 'and typically')
( 6962 , 'and frequently')
( 6963 , 'and usability')
( 6963 , 'and usefulness')
( 6963 , 'and value')
( 6964 , 'and urban')
( 6964 , 'and concrete')
( 6965 , 'and upkeep')
( 6965 , 'and maintenance')
( 6966 , 'and upholstery')
( 6966 , 'and fabric')
( 6967 , 'and unusual')
( 6967 , 'and weird')
( 6967 , 'and strange')
( 6968 , 'and unpleasant')
( 6968 , 'and unsightly')
( 6968 , 'and ugly')
( 6969 , 'and unlike')
( 6969 , 'and in contrast to')
( 6970 , 'and unfasten')
( 6970 , 'and loosen')
( 6971 , 'and uncertain')
( 6971 , 'and unsure')
( 6972 , 'and ultimate')
( 6972 , 'and supreme')
( 6973 , 'and types')
( 6973 , 'and kinds')
( 6974 , 'and type')
( 6974 , 'and sort')
( 6974 , 'and kind')
( 6975 , 'and twine')
( 6975 , 'and cord')
( 6975 , 'and wire')
( 6976 , 'and tv')
( 6976 , 'and television')
( 6977 , 'and turn')
( 6977 , 'and switch')
( 6978 , 'and try')
( 6978 , 'and check out')
( 6978 , 'and take a look at')
( 6979 , 'and trendy')
( 6979 , 'and stylish')
( 6979 , 'and classy')
( 6980 , 'and treatments')
( 6980 , 'and coverings')
( 6981 , 'and transportable')
( 6981 , 'and portable')
( 6981 , 'and conveyable')
( 6982 , 'and transforming')
( 6982 , 'and reworking')
( 6982 , 'and remodeling')
( 6983 , 'and town')
( 6983 , 'and city')
( 6984 , 'and tough')
( 6984 , 'and hard')
( 6984 , 'and difficult')
( 6985 , 'and tool')
( 6985 , 'and gear')
( 6985 , 'and power')
( 6986 , 'and throwback')
